trace,l1_fraction,l2_multiplier,cell,target,seed,iteration,policy,l1_policy,l1_capacity_bytes,l2_policy,l2_capacity_bytes,hit_model,closure,measured_requests,requested_tokens,requested_blocks,avoided_prefill_tokens,l1_avoided_tokens,l2_avoided_tokens,l1_hit_blocks,l2_hit_blocks,l2_present_unusable_blocks,l2_present_unusable_tokens,l1_evictions,l2_admissions,l2_rejections,l2_evictions,l2_ancestor_copy_bytes,l2_byte_seconds,l2_already_held,offline_tiebreak,l2_eviction,l2_sample_width,l2_seed,l2_arm,l2_decisions,l2_byte_seconds_depth_1,l2_avoided_tokens_depth_1,l2_admitted_bytes_depth_1,l2_byte_seconds_depth_2-3,l2_avoided_tokens_depth_2-3,l2_admitted_bytes_depth_2-3,l2_byte_seconds_depth_4-7,l2_avoided_tokens_depth_4-7,l2_admitted_bytes_depth_4-7,l2_byte_seconds_depth_8-15,l2_avoided_tokens_depth_8-15,l2_admitted_bytes_depth_8-15,l2_byte_seconds_depth_16-31,l2_avoided_tokens_depth_16-31,l2_admitted_bytes_depth_16-31,l2_byte_seconds_depth_32-63,l2_avoided_tokens_depth_32-63,l2_admitted_bytes_depth_32-63,l2_byte_seconds_depth_64+,l2_avoided_tokens_depth_64+,l2_admitted_bytes_depth_64+,label_window_measured_requests,label_window_requested_tokens,label_window_requested_blocks,label_window_l1_avoided_tokens,label_window_l2_avoided_tokens,label_window_avoided_prefill_tokens,label_window_l2_hit_blocks,label_window_present_unusable_tokens,label_window_present_unusable_blocks,replay_seconds,attribution_measured_requests,fully_served_requests,beyond_prefix_tokens,beyond_prefix_blocks,l2_hit_tokens,l2_hit_blocks_checked,downstream_absent_tokens,downstream_absent_blocks,unexplained_states,unexplained_after_promotion,root_rejected_tokens,root_rejected_blocks,unusable_after_rejected_tokens,unusable_after_rejected_blocks,absent_rejected_tokens,absent_rejected_blocks,downstream_rejected_tokens,downstream_rejected_blocks,root_evicted_tokens,root_evicted_blocks,unusable_after_evicted_tokens,unusable_after_evicted_blocks,absent_evicted_tokens,absent_evicted_blocks,downstream_evicted_tokens,downstream_evicted_blocks,root_compulsory_tokens,root_compulsory_blocks,unusable_after_compulsory_tokens,unusable_after_compulsory_blocks,absent_compulsory_tokens,absent_compulsory_blocks,downstream_compulsory_tokens,downstream_compulsory_blocks,root_unexplained_tokens,root_unexplained_blocks,unusable_after_unexplained_tokens,unusable_after_unexplained_blocks,absent_unexplained_tokens,absent_unexplained_blocks,downstream_unexplained_tokens,downstream_unexplained_blocks,root_loss_tokens,unusable_tokens,decision_loss_tokens,absent_loss_tokens,perblock_decision_loss_tokens,attribution_partition_verified,requested_tokens_share_of_input,l1_avoided_tokens_share_of_input,l2_avoided_tokens_share_of_input,avoided_prefill_tokens_share_of_input,l2_present_unusable_tokens_share_of_input,beyond_prefix_tokens_share_of_input,l2_hit_tokens_share_of_input,downstream_absent_tokens_share_of_input,root_rejected_tokens_share_of_input,unusable_after_rejected_tokens_share_of_input,absent_rejected_tokens_share_of_input,downstream_rejected_tokens_share_of_input,root_evicted_tokens_share_of_input,unusable_after_evicted_tokens_share_of_input,absent_evicted_tokens_share_of_input,downstream_evicted_tokens_share_of_input,root_compulsory_tokens_share_of_input,unusable_after_compulsory_tokens_share_of_input,absent_compulsory_tokens_share_of_input,downstream_compulsory_tokens_share_of_input,root_unexplained_tokens_share_of_input,unusable_after_unexplained_tokens_share_of_input,absent_unexplained_tokens_share_of_input,downstream_unexplained_tokens_share_of_input,root_loss_tokens_share_of_input,unusable_tokens_share_of_input,decision_loss_tokens_share_of_input,absent_loss_tokens_share_of_input,perblock_decision_loss_tokens_share_of_input,published_pi0_loss_reference_status,removal_rejections,removal_rejections_window,removal_promotions,resident_evictions,resident_evictions_window,evictions_with_orphans,evictions_with_orphans_window,share_evictions_with_orphans,share_evictions_with_orphans_window,orphaned_blocks,orphaned_blocks_window,orphaned_bytes,orphaned_bytes_window,orphaned_blocks_per_eviction
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3258398,2662942,595456,5203,1163,1192,610304,275832,60944,214888,53922,0,655041958129.664,0,prefix_first,sampled,16,0,onpolicy,268810,0.0,0,0,102246337447.93602,165888,2678468608,120780554891.26395,163840,3821893632,137475948482.56,135168,4999213056,158778410727.424,100864,5336481792,98826484660.22401,29696,3564359680,36934221920.256,0,2265407488,2960,32962016,65773,1517568,422400,1939968,825,351744,687,50.10808086395264,5183,3,56079175,111981,595456,1163,52288023,104446,0,0,776543,1520,175104,342,14932615,29180,14156072,27660,316008,618,435200,850,4902172,9587,4586164,8969,1492841,3042,0,0,35038628,70859,33545787,67817,0,0,0,0,0,0,0,0,2585392,610304,1702855,54873415,20445091,True,1.0,0.045332755031624074,0.010136781416985704,0.055469536448609774,0.010389547247675802,0.954667244968376,0.010136781416985704,0.8901283384117736,0.013219526970742305,0.002980893589517722,0.254206279286802,0.2409867523160597,0.005379581399832764,0.007408653658158081,0.08345242307150762,0.07807284167167486,0.025413469521365736,0.0,0.5964822139454048,0.5710687444240391,0.0,0.0,0.0,0.0,0.0440125778919408,0.010389547247675802,0.028988655618250873,0.9341409163037144,0.3480482496059854,matched,214888,89332,6580,53922,20289,14916,5050,0.2766217870257038,0.24890334664103703,43548,14753,45512816640,15412011008,0.8076109936575053
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3008030,2662942,345088,5203,674,640,327363,275832,44029,231803,37685,0,655285289551.8718,0,prefix_first,sampled,16,0,onpolicy,269488,0.0,0,0,34808559941.63202,53248,1140477952,57612156422.144,76288,1726273536,89410150111.23198,99840,2699919360,137783946934.27194,64512,3231932416,170590814312.448,51200,2552496128,165079661830.14395,0,2191499264,2960,32962016,65773,1517568,217088,1734656,424,143360,280,48.87119245529175,5183,3,56079175,111981,345088,674,52819037,105487,0,0,937232,1833,88259,173,16843635,32912,15906403,31079,170037,333,239104,467,3524461,6896,3354424,6563,1480418,3014,0,0,35038628,70859,33558210,67845,0,0,0,0,0,0,0,0,2587687,327363,1434632,55406724,20695459,True,1.0,0.045332755031624074,0.005874626547762996,0.05120738157938707,0.005572883932664531,0.954667244968376,0.005874626547762996,0.8991680875239821,0.015955025931394334,0.0015024824522412088,0.2867386444380273,0.27078361850663296,0.00289463520696743,0.004070401480423322,0.05999887610451629,0.057104240897548855,0.02520198582560448,0.0,0.5964822139454048,0.5712802281198003,0.0,0.0,0.0,0.0,0.04405164696396625,0.005572883932664531,0.024422545071026296,0.9432197344879484,0.3523104044752081,not_applicable_to_updated_policy,231803,98120,5901,37685,12540,12781,3607,0.3391535093538543,0.28763955342902714,74500,18880,77759571968,19746551808,1.976913891468754
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2692638,2662942,29696,5203,58,1822,932864,275832,43579,232253,36765,0,655168600889.344,0,prefix_first,sampled,16,0,onpolicy,269018,0.0,0,0,6824004112.383999,3072,798588928,23252537694.20801,4096,1448310784,62762505152.51201,8192,2555484160,154184705110.01608,14336,3731447808,175378122919.93594,0,3179710464,232766725900.288,0,2606436352,2960,32962016,65773,1517568,28672,1546240,56,624640,1220,49.17263627052307,5183,3,56079175,111981,29696,58,52528443,104921,0,0,992967,1942,683520,1335,16696923,32624,15703956,30682,118079,231,249344,487,3381064,6618,3262985,6387,1477126,3007,0,0,35038628,70859,33561502,67852,0,0,0,0,0,0,0,0,2588172,932864,2043910,55116615,21010851,True,1.0,0.045332755031624074,0.0005055316613801985,0.04583828669300427,0.01588066701784003,0.954667244968376,0.0005055316613801985,0.8942211428982036,0.016903834092325955,0.01163594427487181,0.2842410837866126,0.2673372496942866,0.002010125035160037,0.0042447227429682184,0.057557748557138314,0.05554762352197828,0.025145944263466023,0.0,0.5964822139454048,0.5713362696819387,0.0,0.0,0.0,0.0,0.04405990339095202,0.01588066701784003,0.03479462614532602,0.9382810462891557,0.35767949936159094,not_applicable_to_updated_policy,232253,97227,6372,36765,12869,11893,3616,0.3234870121039032,0.28098531354417594,100116,27113,104382679040,28328898560,2.7231334149326805
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2708510,2662942,45568,5203,89,614,314368,275832,37777,238055,32171,0,655299507582.976,0,prefix_first,sampled,16,0,onpolicy,270226,0.0,0,0,22048373434.367992,11776,600410112,53818928392.19202,10752,959287296,93166501337.088,10752,1548838912,152394919137.28006,12288,2025287680,192291574190.0799,0,1739862016,141579211091.968,0,1440882688,2960,32962016,65773,1517568,10752,1528320,21,180736,353,49.0116069316864,5183,3,56079175,111981,45568,89,53131218,106098,0,0,1011795,1978,87040,170,18440164,36029,17428369,34051,98739,194,227328,444,2240447,4390,2141708,4196,1477487,3008,0,0,35038628,70859,33561141,67851,0,0,0,0,0,0,0,0,2588021,314368,1424902,55719239,20994979,True,1.0,0.045332755031624074,0.0007757296183247873,0.046108484649948864,0.005351662760128308,0.954667244968376,0.0007757296183247873,0.904482519756651,0.017224353694981747,0.0014817307316316163,0.3139172529311465,0.29669289923616476,0.0016808893693770009,0.0038699320284966915,0.03814038571337155,0.03645949634399455,0.025152089768913165,0.0,0.5964822139454048,0.5713301241764916,0.0,0.0,0.0,0.0,0.04405733283327191,0.005351662760128308,0.024256905824487054,0.9485398525899228,0.35740930140464633,not_applicable_to_updated_policy,238055,103100,5163,32171,8171,9882,1564,0.3071710546765721,0.19140864031330315,66028,6581,68811642880,6869454848,2.052407447701346
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3243550,2662942,580608,5203,1134,1219,624128,275832,60571,215261,53573,0,655056182507.52,0,prefix_first,sampled,16,1,onpolicy,268834,0.0,0,0,102280254183.42397,169984,2727563264,120518496446.46396,165888,3858067456,139134690598.91205,139776,4861081600,156196407506.94403,82432,5319073792,98647151198.20801,22528,3506833408,38279182573.567986,0,2325829632,2960,32962016,65773,1517568,411648,1929216,804,364032,711,50.12216281890869,5183,3,56079175,111981,580608,1134,52289354,104448,0,0,765079,1498,162816,318,14955943,29226,14190864,27728,325936,637,461312,901,4879868,9543,4553932,8906,1494070,3045,0,0,35038628,70859,33544558,67814,0,0,0,0,0,0,0,0,2585085,624128,1715143,54874439,20459939,True,1.0,0.045332755031624074,0.009884015586295605,0.05521677061791968,0.010624880952111412,0.954667244968376,0.009884015586295605,0.8901509967711922,0.013024368869783838,0.002771708074463847,0.2546034049130371,0.24157903604325326,0.005548591311409495,0.007853172877647566,0.08307272957152702,0.07752413826011752,0.025434391477583283,0.0,0.5964822139454048,0.5710478224678215,0.0,0.0,0.0,0.0,0.04400735165877662,0.010624880952111412,0.029197841133304748,0.9341583484299689,0.3483010154366755,matched,215261,89397,6556,53573,20225,14760,5090,0.2755119183170627,0.25166872682323854,42894,14978,44836759552,15639826432,0.8006645138409273
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2944030,2662942,281088,5203,549,714,365568,275832,43544,232288,37247,0,655251284461.5679,0,prefix_first,sampled,16,1,onpolicy,269535,0.0,0,0,34299573753.856007,54272,1077921792,57889747777.53602,71168,1617033216,92675545698.30397,84992,2647052288,140156058585.08795,47104,3155509248,170809308614.6559,23552,2504220672,159421050032.12802,0,2088275968,2960,32962016,65773,1517568,158720,1676288,310,168448,329,48.86646342277527,5183,3,56079175,111981,281088,549,52844832,105538,0,0,942862,1844,100864,197,17011042,33238,16068180,31394,164407,322,264704,517,3382849,6621,3218442,6299,1480418,3014,0,0,35038628,70859,33558210,67845,0,0,0,0,0,0,0,0,2587687,365568,1472837,55432519,20759459,True,1.0,0.045332755031624074,0.004785118656857396,0.05011787368848147,0.006223269072852788,0.954667244968376,0.004785118656857396,0.8996072102746995,0.016050868578672436,0.0017170644360672259,0.28958850768010286,0.2735376391014304,0.0027987925596893283,0.004506204636785562,0.0575881356131581,0.054789343053468775,0.02520198582560448,0.0,0.5964822139454048,0.5712802281198003,0.0,0.0,0.0,0.0,0.04405164696396625,0.006223269072852788,0.025072930211214553,0.9436588572386657,0.35339991236611373,not_applicable_to_updated_policy,232288,98547,5854,37247,12165,12431,3390,0.333744999597283,0.2786683107274969,71316,16982,74445268992,17749067776,1.9146776921631272
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2692126,2662942,29184,5203,57,1910,977920,275832,44056,231776,37205,0,655150431244.2882,0,prefix_first,sampled,16,1,onpolicy,268981,0.0,0,0,4430540328.959997,2560,818120704,16419044028.416,4096,1462024192,53981240698.88001,8192,2587938816,151795881224.1921,14336,3907241984,184710716727.29608,0,3294138368,243813008236.544,0,2819065856,2960,32962016,65773,1517568,29184,1546752,57,645632,1261,49.29331111907959,5183,3,56079175,111981,29184,57,52483899,104834,0,0,993991,1944,796160,1555,16541430,32319,15547439,30375,117055,229,181760,355,3492013,6836,3374958,6607,1477126,3007,0,0,35038628,70859,33561502,67852,0,0,0,0,0,0,0,0,2588172,977920,2088966,55072071,21011363,True,1.0,0.045332755031624074,0.0004968155982529536,0.045829570629877026,0.01664768057303757,0.954667244968376,0.0004968155982529536,0.8934628454061334,0.016921266218580443,0.013553478162865666,0.2815940392478535,0.264672773029273,0.001992692908905547,0.0030942024101719046,0.05944649560382715,0.0574538026949216,0.025145944263466023,0.0,0.5964822139454048,0.5713362696819387,0.0,0.0,0.0,0.0,0.04405990339095202,0.01664768057303757,0.03556163970052356,0.9375227487970854,0.3576882154247182,not_applicable_to_updated_policy,231776,96710,6409,37205,13298,12236,3866,0.3288805268109125,0.2907204090840728,105636,33371,110256451584,34902571008,2.8392957935761323
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2728990,2662942,66048,5203,129,579,296448,275832,36750,239082,31094,0,655318348531.712,0,prefix_first,sampled,16,1,onpolicy,270176,0.0,0,0,25892637378.559994,17920,656994304,57422056472.576004,18432,1000984576,90670922024.95996,16384,1518051328,158521487622.144,13312,1860214784,183793485213.69598,0,1534560256,139017759819.77603,0,1301532672,2960,32962016,65773,1517568,16384,1533952,32,154112,301,48.920615434646606,5183,3,56079175,111981,66048,129,53128851,106093,0,0,1009934,1975,80896,158,18566651,36278,17556717,34303,98871,194,215552,421,2111400,4136,2012529,3942,1479023,3011,0,0,35038628,70859,33559605,67848,0,0,0,0,0,0,0,0,2587828,296448,1405253,55716679,20974499,True,1.0,0.045332755031624074,0.0011243721434145793,0.04645712717503865,0.00504660055067474,0.954667244968376,0.0011243721434145793,0.9044422249882482,0.017192672848341507,0.0013771379741046785,0.31607051206547426,0.29887783921713273,0.0016831364794019936,0.0036694625765700613,0.035943546263407566,0.034260409784005574,0.025178237958294897,0.0,0.5964822139454048,0.5713039759871099,0.0,0.0,0.0,0.0,0.0440540472860384,0.00504660055067474,0.02392240987841824,0.9484962722742866,0.35706065887955657,not_applicable_to_updated_policy,239082,103561,5213,31094,7705,9677,1450,0.31121759825046635,0.18818948734587929,60556,5633,63137415168,5874939904,1.9475139898372675
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3273758,2662942,610816,5203,1193,1157,592384,275832,60918,214914,53914,0,655045786667.0082,0,prefix_first,sampled,16,2,onpolicy,268828,0.0,0,0,101642546898.94409,163328,2696296448,119666402746.368,167424,3782701056,138884244455.42404,139776,4961785856,158071338074.11212,101376,5293942784,98471678003.19997,38912,3479707648,38309576488.959984,0,2273613824,2960,32962016,65773,1517568,431616,1949184,843,336896,658,50.0786406993866,5183,3,56079175,111981,610816,1193,52290676,104451,0,0,764790,1496,151040,295,14916841,29147,14152051,27651,326737,640,441344,862,4920506,9625,4593769,8985,1493772,3044,0,0,35038628,70859,33544856,67815,0,0,0,0,0,0,0,0,2585299,592384,1683911,54875975,20429731,True,1.0,0.045332755031624074,0.010398263310803048,0.05573101834242712,0.010084485038222235,0.954667244968376,0.010398263310803048,0.8901735019185638,0.013019449060713967,0.0025712386225372162,0.2539377496388154,0.2409183005781014,0.00556222718360661,0.007513246415685019,0.08376453303513048,0.07820230585152388,0.025429318456466253,0.0,0.5964822139454048,0.5710528954889386,0.0,0.0,0.0,0.0,0.04401099470078683,0.010084485038222235,0.028666161282542815,0.9341844966193507,0.3477867677121681,matched,214914,89503,6562,53914,20123,14926,5115,0.27684831398152615,0.2541867514784078,43482,15063,45455413248,15736915968,0.8065066587528286
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2945054,2662942,282112,5203,551,762,389827,275832,44987,230845,38594,0,655264997879.8081,0,prefix_first,sampled,16,2,onpolicy,269439,0.0,0,0,33353250088.960014,49664,1143658496,56082726352.89601,69632,1701001216,92238739714.048,89600,2686951424,139338764439.55203,47616,3324913664,172098793619.45615,25600,2626287616,162152723664.89594,0,2226528256,2960,32962016,65773,1517568,158208,1675776,309,201728,394,48.9118492603302,5183,3,56079175,111981,282112,551,52819549,105488,0,0,933778,1826,132291,259,16777516,32783,15843738,30957,173491,340,257536,503,3591092,7026,3417601,6686,1480418,3014,0,0,35038628,70859,33558210,67845,0,0,0,0,0,0,0,0,2587687,389827,1497096,55407236,20758435,True,1.0,0.045332755031624074,0.004802550783111885,0.05013530581473596,0.006636243634188397,0.954667244968376,0.004802550783111885,0.8991768035871094,0.015896226552407022,0.0022520638811842617,0.2856130636217963,0.26971683706938926,0.0029534345859547418,0.004384179753004135,0.061133172983874585,0.058179738397919845,0.02520198582560448,0.0,0.5964822139454048,0.5712802281198003,0.0,0.0,0.0,0.0,0.04405164696396625,0.006636243634188397,0.025485904772550163,0.9432284505510756,0.35338248023985924,not_applicable_to_updated_policy,230845,97950,5950,38594,12711,13206,3743,0.3421775405503446,0.2944693572496263,80585,19433,84139913216,20321323008,2.088018863035705
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2694174,2662942,31232,5203,61,1840,942080,275832,44224,231608,37419,0,655146492303.3601,0,prefix_first,sampled,16,2,onpolicy,269027,0.0,0,0,7069745932.288001,5120,824647680,21807684610.048008,6144,1468979200,63343101030.39998,11776,2623805440,155826842163.2001,8192,3811207168,176068721358.848,0,3232137216,231030397208.57605,0,2707146752,2960,32962016,65773,1517568,24576,1542144,48,640000,1250,49.25371527671814,5183,3,56079175,111981,31232,61,52517783,104900,0,0,994503,1945,639488,1249,16638890,32511,15644387,30566,116543,228,302592,591,3428345,6710,3311802,6482,1477034,3007,0,0,35038628,70859,33561594,67852,0,0,0,0,0,0,0,0,2588080,942080,2053126,55105863,21009315,True,1.0,0.045332755031624074,0.0005316798507619329,0.04586443488238601,0.016037556154130436,0.954667244968376,0.0005316798507619329,0.8940396717401248,0.016929982281707688,0.010886362845928756,0.28325315548297314,0.2663231732012655,0.0019839768457783026,0.005151193308201678,0.05836263953510562,0.05637866268932732,0.025144378095872846,0.0,0.5964822139454048,0.5713378358495319,0.0,0.0,0.0,0.0,0.04405833722335884,0.016037556154130436,0.03495151528161643,0.9380980089634836,0.3576533511722092,not_applicable_to_updated_policy,231608,96938,6363,37419,13135,12369,3876,0.33055399663272667,0.29508945565283595,109922,32035,114714327040,33505959936,2.9375985461931107
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2707998,2662942,45056,5203,88,690,352963,275832,38219,237613,32574,0,655277556367.36,0,prefix_first,sampled,16,2,onpolicy,270187,0.0,0,0,23867946508.288006,13824,637968384,51405156106.240005,10752,1004132352,90004969730.048,11776,1648510976,151553994065.91986,8704,2116728832,191026498336.76807,0,1812264960,147418991620.09604,0,1494495232,2960,32962016,65773,1517568,12288,1529856,24,205312,401,49.11617112159729,5183,3,56079175,111981,45056,88,53093135,106023,0,0,1023390,2001,133632,261,18358685,35872,17335295,33871,86632,170,219331,429,2283843,4472,2197211,4302,1477999,3009,0,0,35038628,70859,33560629,67850,0,0,0,0,0,0,0,0,2588021,352963,1462985,55681156,20995491,True,1.0,0.045332755031624074,0.0007670135551975425,0.04609976858682162,0.006008687089026771,0.954667244968376,0.0007670135551975425,0.9038342114908797,0.017421741882404407,0.002274892476210893,0.31253019022109807,0.2951084483386937,0.001474785118827093,0.003733794612815878,0.03887914015764873,0.037404355038821634,0.025160805832040407,0.0,0.5964822139454048,0.5713214081133644,0.0,0.0,0.0,0.0,0.04405733283327191,0.006008687089026771,0.02490521409025827,0.9478915443241516,0.3574180174677736,not_applicable_to_updated_policy,237613,102712,5202,32574,8484,10202,1737,0.3131945723583226,0.20473833097595473,71091,7223,74104713216,7531618304,2.1824461226745258
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3270174,2662942,607232,5203,1186,1181,604672,275832,60528,215304,53540,0,655035965706.2401,0,prefix_first,sampled,16,3,onpolicy,268844,0.0,0,0,101765486618.62401,168448,2660259840,120831246794.75203,167936,3756066816,138517523929.08795,141312,5009364992,158606499235.84012,94720,5326032896,96695817488.384,33792,3537905664,38619391639.552,1024,2273454080,2960,32962016,65773,1517568,421376,1938944,823,356352,696,50.8075225353241,5183,3,56079175,111981,607232,1186,52281842,104434,0,0,770407,1508,176640,345,14902278,29119,14131871,27611,323176,632,428032,836,4926365,9636,4603189,9004,1491846,3040,0,0,35038628,70859,33546782,67819,0,0,0,0,0,0,0,0,2585429,604672,1698255,54867271,20433315,True,1.0,0.045332755031624074,0.010337250868912334,0.055670005900536404,0.01029367055327611,0.954667244968376,0.010337250868912334,0.8900231157824973,0.01311507040170173,0.0030070417788994564,0.25368983552295193,0.24057476512125023,0.005501606283614191,0.007286628774376654,0.08386427407783073,0.07836266779421654,0.02539653107837431,0.0,0.5964822139454048,0.5710856828670304,0.0,0.0,0.0,0.0,0.044013207763690235,0.01029367055327611,0.02891034723859203,0.9340363235461875,0.3478477801540588,matched,215304,89412,6546,53540,20196,14898,5099,0.27825924542398206,0.25247573776985544,43717,14833,45690273792,15486349312,0.8165296974224878
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2974750,2662942,311808,5203,609,747,382464,275832,44637,231195,38196,0,655287443994.624,0,prefix_first,sampled,16,3,onpolicy,269391,0.0,0,0,32919950968.832012,51712,1152456704,55052297066.49601,72192,1777817600,90467109001.21603,94720,2731661312,140520608116.736,56320,3348979712,170398357997.568,36864,2657062912,165929120843.77597,0,2243696640,2960,32962016,65773,1517568,190464,1708032,372,187904,367,48.25809860229492,5183,3,56079175,111981,311808,609,52797124,105445,0,0,942862,1844,138752,271,16721743,32675,15778881,30831,164919,323,243712,476,3624532,7091,3459613,6768,1479998,3013,0,0,35038628,70859,33558630,67846,0,0,0,0,0,0,0,0,2587779,382464,1490245,55384903,20728739,True,1.0,0.045332755031624074,0.005308082444492084,0.050640837476116154,0.006510899156051866,0.954667244968376,0.005308082444492084,0.8987950502362726,0.016050868578672436,0.002362053107483341,0.28466360856555445,0.268612739986882,0.002807508622816573,0.004148846048568525,0.061702440856872764,0.05889493223405619,0.025194835930070412,0.0,0.5964822139454048,0.5712873780153344,0.0,0.0,0.0,0.0,0.044053213131559424,0.006510899156051866,0.025369276357540875,0.942848263367832,0.35287694857847907,not_applicable_to_updated_policy,231195,97745,5998,38196,12872,12946,3746,0.33893601424232905,0.2910192666252331,81369,21548,84952954880,22540472320,2.130301602262017
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2713630,2662942,50688,5203,99,1808,925696,275832,44213,231619,37389,0,655130326726.6558,0,prefix_first,sampled,16,3,onpolicy,269008,0.0,0,0,7609913679.871999,4096,847060992,23242956734.46401,8192,1480476672,62955291539.45601,16384,2668075008,150024383313.91995,22016,3770216448,173270536818.68793,0,3262558208,238027244640.2559,0,2634147840,2960,32962016,65773,1517568,36352,1553920,71,613888,1199,48.44890117645264,5183,3,56079175,111981,50688,99,52514619,104894,0,0,996039,1948,733696,1433,16650832,32534,15654793,30586,115007,225,192000,375,3413331,6681,3298324,6456,1477126,3007,0,0,35038628,70859,33561502,67852,0,0,0,0,0,0,0,0,2588172,925696,2036742,55102791,20989859,True,1.0,0.045332755031624074,0.0008628902495972353,0.04619564528122131,0.0157586421340586,0.954667244968376,0.0008628902495972353,0.893985809193768,0.016956130471089424,0.0124901184613418,0.2834564508459918,0.2665003203749024,0.001957828656396568,0.0032685236727168004,0.058107047793323485,0.056149219136926914,0.025145944263466023,0.0,0.5964822139454048,0.5713362696819387,0.0,0.0,0.0,0.0,0.04405990339095202,0.0157586421340586,0.03467260126154459,0.9380457125847201,0.3573221407733739,not_applicable_to_updated_policy,231619,96923,6382,37389,13144,12270,3705,0.32817138730642703,0.2818776628119294,104735,28431,109250807808,29725405184,2.8012249592126026
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2715678,2662942,52736,5203,103,671,343235,275832,37697,238135,32072,0,655271215298.56,0,prefix_first,sampled,16,3,onpolicy,270207,0.0,0,0,22178172991.48799,13824,620417024,49138333024.256,13312,1022763008,91711894837.24802,12288,1631918080,154446289586.17603,13312,2121828352,192286725144.57605,0,1777829888,145509799714.81598,0,1483786240,2960,32962016,65773,1517568,13824,1531392,27,200192,391,48.058117389678955,5183,3,56079175,111981,52736,103,53095183,106027,0,0,1019330,1993,157379,308,18393907,35941,17374577,33948,90692,178,185856,363,2250669,4407,2159977,4229,1477999,3009,0,0,35038628,70859,33560629,67850,0,0,0,0,0,0,0,0,2588021,343235,1453257,55683204,20987811,True,1.0,0.045332755031624074,0.0008977545021062145,0.046230509533730285,0.00584308188960912,0.954667244968376,0.0008977545021062145,0.9038690757433887,0.017352626225575086,0.002679150974419257,0.3131297940794337,0.2957771678538586,0.001543900775656417,0.003163930915189863,0.03831440055182213,0.03677049977616571,0.025160805832040407,0.0,0.5964822139454048,0.5713214081133644,0.0,0.0,0.0,0.0,0.04405733283327191,0.00584308188960912,0.02473960889084062,0.9479264085766606,0.3572872765208649,not_applicable_to_updated_policy,238135,102722,5182,32072,8477,9964,1688,0.31067597904714395,0.19912704966379616,67764,7634,70602231808,7964147712,2.1128710401596407
